vid percent
DNK000006076 1e-04
DNK000006076 0
DNK000006076 0
DNK000006076 0.4117
DNK000006076 0
DNK000006076 0
DNK000006076 0.1683
DNK000006076 0
DNK000006076 0
DNK000006076 0.2334
DNK000006076 0
DNK000006076 0
DNK000006076 0
DNK000006076 0
DNK000006076 0
DNK000006076 0
DNK000006076 0
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006110 0.1645
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006110 0.0045
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006110 4e-04
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006110 0.1586
DNK000006110 0
DNK000006110 0.0895
DNK000006110 0
DNK000006110 0.1664
DNK000006110 0.6617
DNK000006110 0
DNK000006110 3e-04
DNK000006110 0.0135
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006110 0
DNK000006184 0
DNK000006184 0
DNK000006184 0.3039
DNK000006184 0
DNK000006184 3.4552
DNK000006184 2.8172
DNK000006184 0
DNK000006184 5.6382
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0.9317
DNK000006184 0.006
DNK000006184 0.0175
DNK000006184 1.2729
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0.002
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006184 0
DNK000006225 0
DNK000006225 0.8312
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0.1099
DNK000006225 0.1905
DNK000006225 0
DNK000006225 0
DNK000006225 0.1438
DNK000006225 0.1267
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0.9386
DNK000006225 0
DNK000006225 0
DNK000006225 0.3138
DNK000006225 0
DNK000006225 0
DNK000006225 0.8416
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006225 0
DNK000006282 0
DNK000006282 0.3444
DNK000006282 0
DNK000006282 0
DNK000006282 0
DNK000006282 0
DNK000006282 0
DNK000006282 0
DNK000006282 0
DNK000006282 0.0286
DNK000006282 2.2956
DNK000006282 0.1275
DNK000006282 0
DNK000006282 3e-04
DNK000006282 0.4261
DNK000006282 0
DNK000006282 0
DNK000006282 0
DNK000006282 0
DNK000006282 0
DNK000006282 0
DNK000006282 0
DNK000006282 0
DNK000006282 1.7997
DNK000006282 0.0462
DNK000006282 2.4605
DNK000006282 0
DNK000006282 0.0303
DNK000006282 1.8413
DNK000006282 0
DNK000006282 0.5847
DNK000006282 8.2053
DNK000006282 1.1463
DNK000006282 0
DNK000006282 0
